ISO3,pa_marine_area,pa_land_area,marine_area,land_area,percentage_pa_land_cover,percentage_pa_marine_cover,pame_pa_marine_area,pame_pa_land_area,pame_percentage_pa_marine_cover,pame_percentage_pa_land_cover,percentage_nr_land_cover,percentage_nr_marine_cover,nr_version,nr_report_url
SRB,0,6687.226046,0,88509.11514,7.555409,0,0,4074.584863,0,60.93086782,6,na,5,https://www.cbd.int/doc/world/rs/rs-nr-05-en.pdf
SSD,0,98214.48596,0,633580.4791,15.5015,0,0,59270.90155,0,60.34843126,13,0,5,https://www.cbd.int/doc/world/ss/ss-nr-05-en.pdf
STP,35.280222,289.416981,131709.1714,989.259888,29.25591,0.026786,0,0,0,0,30,na,5,https://www.cbd.int/doc/world/st/st-nr-05-fr.pdf
SUR,1980.928256,21425.69157,128362.9877,147558.4488,14.52014,1.543224,1980.333327,20899.47606,99.96996716,97.54399755,na,na,0,0
SVK,0,18395.39988,0,48941.21743,37.58672,0,0,10893.15729,0,59.21674637,23.3,0,5,https://www.cbd.int/doc/world/sk/sk-nr-05-en.pdf
SVN,208.23342,10877.49598,186.314047,20308.54692,53.56117,100,0.405681,2453.068141,0.194820313,22.55177244,13,0.4,5,https://www.cbd.int/doc/world/si/si-nr-05-en.pdf
SWE,23818.3509,64596.94321,154980.4918,449390.1761,14.37436,15.36861,1079.94217,10548.05226,4.534076161,16.32902694,14.5,10,6,https://chm.cbd.int/database/record/060FF276-745E-F718-DC53-A1A48915D17E
SWZ,0,738.20711,0,17335.867,4.258265,0,0,0,0,0,3.9,0,5,https://www.cbd.int/doc/world/sz/sz-nr-05-en.pdf
SXM,43.282473,0.000136,497.533856,36.455424,0.000373,8.699403,0,0,0,0,na,na,0,0
SYC,350002.9291,242.394473,1340839.459,486.864575,49.78684,26.10327,2435.292117,167.221736,0.695791925,68.98743768,46.6,0.03,5,https://www.cbd.int/doc/world/sc/sc-nr-05-en.pdf
SYR,25.201794,1292.567557,10203.61673,188612.6151,0.685303,0.246989,0,110.229277,0,8.527931589,na,na,0,0
TCA,149.820284,451.737848,154242.1775,1018.174578,44.36742,0.097133,0,0,0,0,na,na,0,0
TCD,0,267716.0991,0,1276585.969,20.97125,0,0,148803.0423,0,55.58240345,12.3,na,5,https://www.cbd.int/doc/world/td/td-nr-05-fr.pdf
TGO,30.987414,15876.86929,15520.93847,57480.648,27.62124,0.199649,0,3778.47929,0,23.79864204,na,na,0,https://chm.cbd.int/database/record/77EEB058-F6CE-9107-7EE8-1F96B95E6314
THA,5773.799574,97391.37501,306890.539,517786.6125,18.80917,1.881387,0,39157.93662,0,40.20678075,na,20,6,https://chm.cbd.int/database/record/46D5C83F-588E-181B-D5F7-80C3E0A7552E
TJK,0,31690.1072,0,142244.2178,22.27866,0,0,26003.31263,0,82.05498475,na,0,0,0
TKL,9.510634,0.998313,321242.5226,15.181307,6.575934,0.002961,0,0,0,0,na,na,0,0
