id,ecoregion,biome,realm,source,ecoregion_area,perc_protected_2021,perc_protected_2021_OECM
51302,Central Mexican matorral,Deserts & Xeric Shrublands,Nearctic,wwfterr," 	59,487 ",5.39,5.39
50510,Central Pacific coastal forests,Temperate Conifer Forests,Nearctic,wwfterr," 	73,823 ",9.21,10.46
81313,Central Persian desert basins,Deserts & Xeric Shrublands,Palearctic,wwfterr," 	582,193 ",12.12,12.12
70102,Central Polynesian tropical moist forests,Tropical & Subtropical Moist Broadleaf Forests,Oceania,wwfterr, 	616 ,14.35,14.35
10105,Central Range montane rain forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,wwfterr," 	172,365 ",14.31,14.31
11002,Central Range sub-alpine grasslands,Montane Grasslands & Shrublands,Australasia,wwfterr," 	15,606 ",40.25,40.25
11302,Central Ranges xeric scrub,Deserts & Xeric Shrublands,Australasia,wwfterr," 	282,291 ",32.80,32.80
50805,Central tall grasslands,"Temperate Grasslands, Savannas & Shrublands",Nearctic,wwfterr," 	248,998 ",1.83,1.83
81002,Central Tibetan Plateau alpine steppe,Montane Grasslands & Shrublands,Palearctic,wwfterr," 	630,874 ",42.79,42.79
50404,Central U.S. hardwood forests,Temperate Broadleaf & Mixed Forests,Nearctic,wwfterr," 	296,685 ",2.94,2.94
30704,Central Zambezian Miombo woodlands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropics,wwfterr," 	1,186,783 ",26.50,26.50
60704,Cerrado,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Neotropics,wwfterr," 	1,921,063 ",12.22,12.22
80414,Changbai Mountains mixed forests,Temperate Broadleaf & Mixed Forests,Palearctic,wwfterr," 	93,509 ",12.01,12.01
80415,Changjiang Plain evergreen forests,Temperate Broadleaf & Mixed Forests,Palearctic,wwfterr," 	438,996 ",4.76,4.76
40107,Chao Phraya freshwater swamp forests,Tropical & Subtropical Moist Broadleaf Forests,IndoMalay,wwfterr," 	39,086 ",0.33,0.33
40108,Chao Phraya lowland moist deciduous forests,Tropical & Subtropical Moist Broadleaf Forests,IndoMalay,wwfterr," 	20,459 ",12.81,12.81
10401,Chatham Island temperate forests,Temperate Broadleaf & Mixed Forests,Australasia,wwfterr, 	806 ,5.28,5.28
81103,Cherskii-Kolyma mountain tundra,Tundra,Palearctic,wwfterr," 	558,030 ",14.62,14.62
40203,Chhota-Nagpur dry deciduous forests,Tropical & Subtropical Dry Broadleaf Forests,IndoMalay,wwfterr," 	122,693 ",5.97,5.97
60211,Chiapas Depression dry forests,Tropical & Subtropical Dry Broadleaf Forests,Neotropics,wwfterr," 	14,053 ",2.58,2.58
60113,Chiapas montane forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropics,wwfterr," 	5,791 ",4.40,4.40
51303,Chihuahuan desert,Deserts & Xeric Shrublands,Nearctic,wwfterr," 	510,640 ",6.72,6.72
61201,Chilean matorral,"Mediterranean Forests, Woodlands & Scrub",Neotropics,wwfterr," 	148,840 ",1.31,1.31
60114,Chimalapas montane forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropics,wwfterr," 	2,088 ",13.65,13.65
40109,Chin Hills-Arakan Yoma montane forests,Tropical & Subtropical Moist Broadleaf Forests,IndoMalay,wwfterr," 	29,764 ",4.90,4.90
60212,Chiquitano dry forests,Tropical & Subtropical Dry Broadleaf Forests,Neotropics,wwfterr," 	231,075 ",24.25,24.25
60115,Choc├│-Dari├⌐n moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropics,wwfterr," 	73,788 ",15.27,15.27
40110,Christmas and Cocos Islands tropical forests,Tropical & Subtropical Moist Broadleaf Forests,IndoMalay,wwfterr, 	135 ,9.45,9.45
81104,Chukchi Peninsula tundra,Tundra,Palearctic,wwfterr," 	298,986 ",6.21,6.21
60705,Clipperton Island shrub and grasslands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Neotropics,wwfterr, 	29 ,96.91,96.91
60116,Cocos Island moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropics,wwfterr, 	25 ,100.00,100.00
51304,Colorado Plateau shrublands,Deserts & Xeric Shrublands,Nearctic,wwfterr," 	327,123 ",9.04,9.04
50511,Colorado Rockies forests,Temperate Conifer Forests,Nearctic,wwfterr," 	133,039 ",13.50,13.50
30105,Comoros forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropics,wwfterr," 	2,070 ",30.04,30.04
50603,Cook Inlet taiga,Boreal Forests/Taiga,Nearctic,wwfterr," 	27,914 ",26.70,26.70
70103,Cook Islands tropical moist forests,Tropical & Subtropical Moist Broadleaf Forests,Oceania,wwfterr, 	213 ,29.75,29.75
11201,Coolgardie woodlands,"Mediterranean Forests, Woodlands & Scrub",Australasia,wwfterr," 	137,681 ",32.33,32.33
50604,Copper Plateau taiga,Boreal Forests/Taiga,Nearctic,wwfterr," 	17,210 ",29.40,29.40
61004,Cordillera Central p├íramo,Montane Grasslands & Shrublands,Neotropics,wwfterr," 	12,199 ",16.36,16.36
61005,Cordillera de Merida p├íramo,Montane Grasslands & Shrublands,Neotropics,wwfterr," 	2,816 ",93.79,93.79
60117,Cordillera La Costa montane forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropics,wwfterr," 	14,372 ",84.25,84.25
60118,Cordillera Oriental montane forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropics,wwfterr," 	68,021 ",31.48,31.48
81204,Corsican montane broadleaf and mixed forests,"Mediterranean Forests, Woodlands & Scrub",Palearctic,wwfterr," 	3,636 ",77.85,77.85
60119,Costa Rican seasonal moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropics,wwfterr," 	10,721 ",11.81,11.81
81205,Crete Mediterranean forests,"Mediterranean Forests, Woodlands & Scrub",Palearctic,wwfterr," 	8,211 ",35.91,35.91
80416,Crimean Submediterranean forest complex,Temperate Broadleaf & Mixed Forests,Palearctic,wwfterr," 	30,218 ",10.17,10.17
30106,Cross-Niger transition forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropics,wwfterr," 	20,765 ",2.59,2.59
30107,Cross-Sanaga-Bioko coastal forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropics,wwfterr," 	52,183 ",19.08,19.08
61306,Cuban cactus scrub,Deserts & Xeric Shrublands,Neotropics,wwfterr," 	3,272 ",18.91,18.91
60213,Cuban dry forests,Tropical & Subtropical Dry Broadleaf Forests,Neotropics,wwfterr," 	66,067 ",6.18,6.18
60120,Cuban moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropics,wwfterr," 	21,445 ",20.92,20.92
60304,Cuban pine forests,Tropical & Subtropical Coniferous Forests,Neotropics,wwfterr," 	6,436 ",7.54,7.54
60902,Cuban wetlands,Flooded Grasslands & Savannas,Neotropics,wwfterr," 	5,674 ",62.30,62.30
81206,Cyprus Mediterranean forests,"Mediterranean Forests, Woodlands & Scrub",Palearctic,wwfterr," 	9,294 ",37.43,37.43
80505,Da Hinggan-Dzhagdy Mountains conifer forests,Temperate Conifer Forests,Palearctic,wwfterr," 	248,877 ",12.90,12.90
80417,Daba Mountains evergreen forests,Temperate Broadleaf & Mixed Forests,Palearctic,wwfterr," 	168,678 ",8.23,8.23
80804,Daurian forest steppe,"Temperate Grasslands, Savannas & Shrublands",Palearctic,wwfterr," 	209,403 ",6.88,6.88
51109,Davis Highlands tundra,Tundra,Nearctic,wwfterr," 	88,084 ",11.53,11.53
41301,Deccan thorn scrub forests,Deserts & Xeric Shrublands,IndoMalay,wwfterr," 	341,003 ",2.79,2.79
80418,Dinaric Mountains mixed forests,Temperate Broadleaf & Mixed Forests,Palearctic,wwfterr," 	58,299 ",22.71,22.71
31003,Drakensberg alti-montane grasslands and woodlands,Montane Grasslands & Shrublands,Afrotropics,wwfterr," 	11,934 ",7.01,7.01
31004,"Drakensberg montane grasslands, woodlands and forests",Montane Grasslands & Shrublands,Afrotropics,wwfterr," 	202,664 ",5.98,5.98
60210,Dry Chaco,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Neotropics,wwfterr," 	790,165 ",15.05,15.05
80506,East Afghan montane conifer forests,Temperate Conifer Forests,Palearctic,wwfterr," 	20,128 ",8.98,8.98
30901,East African halophytics,Flooded Grasslands & Savannas,Afrotropics,wwfterr," 	2,643 ",66.36,66.36
31402,East African mangroves,Mangroves,Afrotropics,wwfterr," 	16,108 ",35.82,35.82
30108,East African montane forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropics,wwfterr," 	65,637 ",34.54,34.54
31005,East African montane moorlands,Montane Grasslands & Shrublands,Afrotropics,wwfterr," 	3,295 ",71.08,71.08
50405,East Central Texas forests,Temperate Broadleaf & Mixed Forests,Nearctic,wwfterr," 	52,754 ",0.51,0.51
40204,East Deccan dry-evergreen forests,Tropical & Subtropical Dry Broadleaf Forests,IndoMalay,wwfterr," 	25,589 ",2.24,2.24
80419,East European forest steppe,Temperate Broadleaf & Mixed Forests,Palearctic,wwfterr," 	728,842 ",3.56,3.56
31303,East Saharan montane xeric woodlands,Deserts & Xeric Shrublands,Afrotropics,wwfterr," 	27,932 ",49.55,49.55
80601,East Siberian taiga,Boreal Forests/Taiga,Palearctic,wwfterr," 	3,908,788 ",11.46,11.46
30705,East Sudanian savanna,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropics,wwfterr," 	919,585 ",24.70,24.70
80420,Eastern Anatolian deciduous forests,Temperate Broadleaf & Mixed Forests,Palearctic,wwfterr," 	81,748 ",0.00,0.00
80805,Eastern Anatolian montane steppe,"Temperate Grasslands, Savannas & Shrublands",Palearctic,wwfterr," 	168,625 ",5.08,5.08
30109,Eastern Arc forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropics,wwfterr," 	23,710 ",20.31,20.31
10802,Eastern Australia mulga shrublands,"Temperate Grasslands, Savannas & Shrublands",Australasia,wwfterr," 	254,478 ",4.44,4.44
10402,Eastern Australian temperate forests,Temperate Broadleaf & Mixed Forests,Australasia,wwfterr," 	222,554 ",18.21,18.21
