SitRecID, site_area ,terr,fresh,marine, pa_area ,oecm_area,paoecm_area,pa_perc,paoecm_perc,pa_category,paoecm_category
638,193.179,Y,N,Y,28.3962,0,28.3962,14.7,14.69942385,partial,partial
642,14.27,Y,N,Y,1.5101,0,1.5101,10.58,10.58234057,partial,partial
644,1.847,Y,N,N,1.847,0,1.847,100,100,complete,complete
650,2.809,Y,Y,N,2.8078,0,2.8078,99.97,99.95728017,complete,complete
651,106.881,Y,Y,N,105.7924,0,105.7924,98.98,98.98148408,complete,complete
659,42.196,Y,N,N,41.4917,0,41.4917,98.33,98.33088444,complete,complete
662,266.278,Y,N,N,255.1093,0,255.1093,95.81,95.8056242,partial,partial
667,12.429,Y,Y,N,12.3325,0,12.3325,99.23,99.22358999,complete,complete
671,203.056,Y,N,Y,75.0015,0,75.0015,36.94,36.93636238,partial,partial
672,149.342,Y,N,Y,43.9086,0,43.9086,29.4,29.40137403,partial,partial
673,94.433,Y,N,Y,28.3745,0,28.3745,30.05,30.04722925,partial,partial
674,45.062,Y,N,Y,25.282,0,25.282,56.11,56.10492211,partial,partial
675,96.987,Y,N,Y,65.6577,0,65.6577,67.7,67.69742337,partial,partial
678,12.541,Y,N,Y,3.6605,0,3.6605,29.19,29.1882625,partial,partial
681,69.447,Y,N,Y,69.2354,0,69.2354,99.7,99.69530721,complete,complete
682,3.655,Y,Y,N,3.6527,0,3.6527,99.94,99.9370725,complete,complete
683,4.797,Y,N,Y,4.795,0,4.795,99.97,99.95830728,complete,complete
684,126.774,Y,Y,N,116.7034,0,116.7034,92.06,92.05625759,partial,partial
685,33.589,Y,Y,N,32.8154,0,32.8154,97.7,97.69686505,partial,partial
686,10.427,Y,Y,N,10.4241,0,10.4241,99.97,99.97218759,complete,complete
688,22.149,Y,Y,N,16.8833,0,16.8833,76.23,76.22601472,partial,partial
689,22.516,Y,Y,N,14.5181,0,14.5181,64.48,64.47903713,partial,partial
690,892.206,Y,N,N,869.4689,0,869.4689,97.45,97.45158629,partial,partial
691,985.987,Y,N,N,957.5338,0,957.5338,97.11,97.11424187,partial,partial
692,13.878,Y,N,Y,9.3086,0,9.3086,67.08,67.07450641,partial,partial
693,125.665,Y,Y,N,93.8465,0,93.8465,74.68,74.67990292,partial,partial
